sample,uptime_sec,status,cpu_percent,cpu_user,cpu_system,rss_mb,vms_mb,shared_mb,data_mb,text_mb,read_count,write_count,read_bytes,write_bytes,read_chars,write_chars,ctx_voluntary,ctx_involuntary,open_files,fds,threads,cpu_affinity
1,630241.8184232712,running,0.0,3088.619405312,1874.246107136,926.5625,439223.015625,,,,0.0,0.0,0.0,0.0,,,76112308.0,0.0,69.0,157.0,95.0,
2,630242.8274450302,running,0.0,3088.623599616,1874.25357824,926.5625,439223.015625,,,,0.0,0.0,0.0,0.0,,,76112440.0,0.0,69.0,157.0,95.0,
3,630243.8283360004,running,0.0,3088.627007488,1874.25619968,926.5625,439223.015625,,,,0.0,0.0,0.0,0.0,,,76112625.0,0.0,69.0,157.0,95.0,
4,630244.8251709938,running,0.0,3088.63041536,1874.259607552,926.5625,439223.015625,,,,0.0,0.0,0.0,0.0,,,76112864.0,0.0,69.0,157.0,95.0,
5,630245.8278989792,running,0.0,3088.655056896,1874.284511232,926.59375,439223.5625,,,,0.0,0.0,0.0,0.0,,,76113407.0,0.0,69.0,155.0,96.0,
6,630246.8271722794,running,0.0,3088.66711552,1874.288443392,926.59375,439223.5625,,,,0.0,0.0,0.0,0.0,,,76113561.0,0.0,69.0,154.0,96.0,
7,630247.8259100914,running,0.0,3088.670261248,1874.293686272,926.59375,439223.5625,,,,0.0,0.0,0.0,0.0,,,76113754.0,0.0,69.0,154.0,96.0,
8,630248.8258271217,running,0.0,3088.675766272,1874.297094144,926.578125,439223.265625,,,,0.0,0.0,0.0,0.0,,,76113906.0,0.0,69.0,154.0,95.0,
9,630249.8288011551,running,0.0,3088.679436288,1874.299846656,926.578125,439223.265625,,,,0.0,0.0,0.0,0.0,,,76114044.0,0.0,69.0,154.0,95.0,
10,630250.8272652626,running,0.0,3088.684941312,1874.302337024,926.53125,439222.71875,,,,0.0,0.0,0.0,0.0,,,76114170.0,0.0,69.0,152.0,94.0,
11,630251.8262701035,running,0.0,3088.689659904,1874.306138112,926.515625,439222.421875,,,,0.0,0.0,0.0,0.0,,,76114364.0,0.0,69.0,152.0,93.0,
12,630252.8297302723,running,0.0,3088.693854208,1874.308759552,926.515625,439222.421875,,,,0.0,0.0,0.0,0.0,,,76114485.0,0.0,69.0,152.0,93.0,
13,630253.8252811432,running,0.0,3088.6985728,1874.311643136,926.515625,439222.421875,,,,0.0,0.0,0.0,0.0,,,76114607.0,0.0,69.0,151.0,93.0,
14,630254.8276171684,running,0.0,3088.701456384,1874.314395648,926.515625,439222.421875,,,,0.0,0.0,0.0,0.0,,,76114687.0,0.0,69.0,151.0,93.0,
15,630255.8276650906,running,0.0,3088.704602112,1874.316886016,926.515625,439222.421875,,,,0.0,0.0,0.0,0.0,,,76114811.0,0.0,69.0,151.0,93.0,
16,630256.8276000023,running,0.0,3088.709320704,1874.319507456,926.515625,439222.421875,,,,0.0,0.0,0.0,0.0,,,76114947.0,0.0,69.0,151.0,93.0,
17,630257.8247880936,running,0.0,3088.715087872,1874.325798912,926.5,439222.125,,,,0.0,0.0,0.0,0.0,,,76115081.0,0.0,69.0,150.0,92.0,
18,630258.8288862705,running,0.0,3088.721903616,1874.330648576,926.5,439222.125,,,,0.0,0.0,0.0,0.0,,,76115359.0,0.0,69.0,149.0,92.0,
19,630259.8225281239,running,0.0,3088.723738624,1874.332352512,926.5,439222.125,,,,0.0,0.0,0.0,0.0,,,76115456.0,0.0,69.0,149.0,92.0,
20,630260.8273251057,running,0.0,3088.726884352,1874.33484288,926.5,439222.125,,,,0.0,0.0,0.0,0.0,,,76115573.0,0.0,69.0,149.0,92.0,
21,630261.8349850178,running,0.0,3088.729505792,1874.337202176,926.5,439222.125,,,,0.0,0.0,0.0,0.0,,,76115705.0,0.0,69.0,149.0,92.0,
